CPT Code,Description
0098U,"Detection of respiratory infectious agent by multiplex reverse transcription and multiplex amplified probe technique for adenovirus, coronavirus, human metapneumovirus, influenza A, influenza A subtype H1, influenza A subtype H3, influenza A subtype H1-2009, influenza B, parainfluenza virus, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumoniae, Mycoplasma pneumoniae"
0099U,"Detection of respiratory infectious agent by multiplex reverse transcription and multiplex amplified probe technique for adenovirus, coronavirus 229E, coronavirus HKU1, coronavirus, coronavirus OC43, human metapneumovirus, influenza A, influenza A subtype, influenza A subtype H3, influenza A subtype H1-2009, influenza, parainfluenza virus, parainfluenza virus 2, parainfluenza virus 3, parainfluenza virus 4, human rhinovirus/enterovirus, respiratory syncytial virus, Bordetella pertussis, Chlamydophila pneumonia, and Mycoplasma pneumoniae"
0100T,Insertion of retinal prosthesis receiver pulse generator and retinal electrode array
0100U,"Detection of respiratory infectious agent by multiplex reverse transcription and multiplex amplified probe technique for adenovirus, coronavirus 229E, coronavirus HKU1, coronavirus NL63, coronavirus OC43, human metapneumovirus, human rhinovirus/enterovirus, influenza A, including subtypes H1, H1-2009, and H3, influenza B, parainfluenza virus 1, parainfluenza virus 2, parainfluenza virus 3, parainfluenza virus 4, respiratory syncytial virus, Bordetella parapertussis [IS1001], Bordetella pertussis [ptxP], Chlamydia pneumoniae, Mycoplasma pneumoniae"
0101T,High energy shock wave therapy of musculoskeletal system
0101U,"Hereditary colon cancer disorders genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with MRNA analytics to resolve variants of unknown significance when indicated (15 genes [sequencing and deletion/duplication], EPCAM and GREM1 [deletion/duplication only])"
0102T,High energy shock wave therapy of musculoskeletal system under anesthesia
0102U,"Hereditary ovarian cancer genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with MRNA analytics to resolve variants of unknown significance when indicated (17 genes [sequencing and deletion/duplication])"
0103U,"Hereditary ovarian cancer genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with MRNA analytics to resolve variants of unknown significance when indicated (24 genes [sequencing and deletion/duplication], EPCAM [deletion/duplication only])"
0105U,"Multiplex electrochemiluminescent immunoassay of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) in fresh plasma, ombined with longitudinal clinical data, including APOL1 genotype, algorithm reported as probability score for rapid kidney function decline"
0106T,Measurement of sensory impairment of arm or leg using touch pressure
0106U,"Evaluation of gastric emptying by serial collection of breath specimens after administration non-radioisotope carbon-13 (13C) spirulina substrate abd analysis of by gas isotope ratio mass spectrometry, reported as rate of 13CO2 excretion"
0107T,Measurement of sensory impairment of arm or leg using vibration
0107U,Detection of Clostridium difficile toxin antigen by immunoassay technique in stool by qualitative multiple-step method
0108T,Measurement of sensory impairment of arm or leg using cooling
0108U,"Whole-slide digital imaging of esophaeal cells, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology in formalin-fixed paraffin-embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer"
0109T,Measurement of sensory impairment of arm or leg using heat
0109U,"Real-time PCR for detection of DNA from Aspergillus fumigatus, Aspergillus terreus, Aspergillus niger, and Aspergillus flavus in blood tissue, qualitative reporting of presence or absence of each species"
0110T,Measurement of sensory impairment of arm or leg
0110U,"Measurement of multiple oral oncology drugs by definitive tandem mass spectrometry with chromatography, in plasma from capillary blood , quantitative report with steady-state range"
01112,"Anesthesia for bone marrow aspiration and/or biopsy, anterior or posterior iliac crest"
0111T,Measurement of long-chain omega fatty acids in red blood cell (RBC) membranes
0111U,"Targeted KRAS (codons 12, 13, and 61) and NRAS (codons 12, 13, and 61) gene analysis of colon cells in formalin-fixed paraffin-embedded tissue"
01120,Anesthesia for procedures on bony pelvis
0112U,Detection and identification of infectious agent by targeted sequence analysis of 16S and 18S rRNA genes) with drug-resistance gene analysis
01130,Anesthesia for body cast application or revision
0113U,"Measurement of PCA3 and TMPRSS2-ERG in urine and PSA in serum following prostatic massage, by RNA amplification and fluorescence-based detection, algorithm reported as risk score"
01140,Anesthesia for interpelviabdominal (hindquarter) amputation
0114U,"Vimentin (VIM) and Cyclin A1 (CCNA1) methylation analysis of esophageal cells, algorithm reported as likelihood for Barrett's esophagus"
01150,"Anesthesia for radical procedures for tumor of pelvis, except hindquarter amputation"
0115U,"Detection of respiratory infectious agent by nucleic acid (DNA and RNA), 18 viral types and subtypes and 2 bacterial targets, amplified probe technique, including multiplex reverse transcription for RNA targets, each analyte reported as detected or not detected"
01160,Anesthesia for closed procedures involving symphysis pubis or sacroiliac joint
0116U,"Enzyme immunoassay of 35 or more drugs confirmed with liquid chromatography-tandem mass spectrometry in oral fluid, algorithm results reported as a patient-compliance measurement with risk of drug to drug interactions for prescribed medications"
01170,Anesthesia for open procedures involving symphysis pubis or sacroiliac joint
01173,Anesthesia for open repair of fracture disruption of pelvis or column fracture involving acetabulum
0117U,"Analysis of endogenous methylmalonic acid, xanthurenic acid, homocysteine, pyroglutamic acid, vanilmandelate, 5-hydroxyindoleacetic acid, hydroxymethylglutarate, ethylmalonate, 3-hydroxypropyl mercapturic acid (3-HPMA), quinolinic acid, kynurenic acid), and LC-MS/MS in urine, algorithm reported as pain-index score with likelihood of atypical biochemical function associated with pain"
0118U,"Quantification of transplant donor-derived cell-free DNA using whole genome next-generation sequencing, plasma, reported as percentage of donor-derived cell-free DNA in total cell-free DNA"
0119U,"Measurement of ceramides by liquid chromatography-tandem mass spectrometry in plasma, quantitative report with risk score for major cardiovascular events"
01200,Anesthesia for all closed procedures involving hip joint
01202,Anesthesia for arthroscopic procedures of hip joint
0120U,"B-cell lymphoma classification mRNA gene expression profiling by fluorescent probe hybridization of 58 genes (45 content and 13 housekeeping genes) in formalin-fixed paraffin-embedded tissue, algorithm reported as likelihood for primary mediastinal B-cell lymphoma (PMBCL) and diffuse large B-cell lymphoma (DLBCL) with cell of origin subtyping in the latter"
01210,Anesthesia for open procedures involving hip joint; not otherwise specified
01212,Anesthesia for open procedures involving hip joint; hip disarticulation
01214,Anesthesia for open procedures involving hip joint; total hip arthroplasty
01215,Anesthesia for open procedures involving hip joint; revision of total hip arthroplasty
0121U,VCAM-1 microfluidic flow adhesion test in whole blood for sickle cell disease
01220,Anesthesia for all closed procedures involving upper two-thirds of femur
0122U,P-Selectin microfluidic flow adhesion test in whole blood for sickle cell disease
01230,Anesthesia for open procedures involving upper two-thirds of femur; not otherwise specified
01232,Anesthesia for open procedures involving upper two-thirds of femur; amputation
01234,Anesthesia procedure for radical resection of upper two-third of femur
0123U,RBC mechanical fragility test with shear stress and spectral analysis profiling
0124U,"Fetal congenital abnormalities risk biochemical assays of free beta-hCG, PAPP-A, AFP by time-resolved fluorescence immunoassay in maternal dried-blood spot, algorithm reported as risk scores for fetal trisomies 13/18 and 21"
01250,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of upper leg"
0125U,"Fetal congenital abnormalities and perinatal complications risk biochemical assays of 5 free beta-hCG, PAPP-A, AFP, placental growth factor, and inhibin-A by time-resolved fluorescence immunoassay in maternal serum, algorithm reported as risk scores for fetal trisomies 13/18, 21 and preeclampsia"
01260,"Anesthesia for all procedures involving veins of upper leg, including exploration"
0126T,Evaluation of thickness of common carotid artery (neck)
0126U,"Fetal congenital abnormalities and perinatal complications risk biochemical assays offree beta-hCG, PAPP-A, AFP, placental growth factor, and inhibin-A by time-resolved fluorescence immunoassay, includes qualitative assessment of Y chromosome in cell-free fetal DNA, maternal serum and plasma, predictive algorithm reported as risk scores for fetal trisomies 13/18, 21, and preeclampsia"
01270,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; not otherwise specified"
01272,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery ligation"
01274,"Anesthesia for procedures involving arteries of upper leg, including bypass graft; femoral artery embolectomy"
0127U,"Pre-eclampsia risk biochemical assays of APP-A, AFP, and placental growth factor by time-resolved fluorescence immunoassay in maternal serum, predictive algorithm reported as risk score for preeclampsia"
